comment_id,author,text,published_at,cleaned_comment,sentiment,sentiment_category,tokens,topic
UgzOQeCpVJdjtkOznGp4AaABAg,@АртёмБобровский-у9ж,Дима Масленников,2021-11-25T17:08:20Z,дима масленников,0.0,Neutral,"['дима', 'масленников']",1
UgxlUo27mVRD0o9A5-F4AaABAg,@marcigartner9781,Jimmy or you have gains!!,2021-11-25T17:08:20Z,jimmy or you have gains,0.0,Neutral,"['jimmy', 'gain']",0
UgwNxnqG3NrNMqX0Rit4AaABAg,@ITACHI-xm2rf,Awesome jimmy,2021-11-25T17:08:18Z,awesome jimmy,1.0,Positive,"['awesome', 'jimmy']",3
Ugzw7sAlhKTBcDcCBGZ4AaABAg,@Mr_Curtis_Kelley,Both Mr. Beast and 079 should make an appearance in season 2,2021-11-25T17:08:18Z,both mr beast and 079 should make an appearance in season 2,0.0,Neutral,"['mr', 'beast', 'make', 'appearance', 'season']",4
Ugy4ZK1qo3XL_SCRkYt4AaABAg,@Kp-zo8ww,Beast out here doing things damn,2021-11-25T17:08:18Z,beast out here doing things damn,0.0,Neutral,"['beast', 'thing', 'damn']",0
UgxI8utV9kVt6t40j3h4AaABAg,@poolrmz2866,Señor bestia te amo i want to participate  thank you,2021-11-25T17:08:18Z,señor bestia te amo i want to participate thank you,0.0,Neutral,"['señor', 'bestia', 'te', 'amo', 'want', 'participate', 'thank']",1
UgzV3bmxL_fE9U17SyV4AaABAg,@ghostKING7,I wish I could play the game,2021-11-25T17:08:16Z,i wish i could play the game,-0.4,Negative,"['wish', 'could', 'play', 'game']",1
UgzEaIciUiZp9qA1DsF4AaABAg,@Vipahh,This was so well made. Good job jimmy,2021-11-25T17:08:15Z,this was so well made good job jimmy,0.7,Positive,"['well', 'make', 'good', 'job', 'jimmy']",4
UgwK5uFEJT3EKZc4wLR4AaABAg,@dengilol,Thank you for a week of gifts at Brawl Stars,2021-11-25T17:08:15Z,thank you for a week of gifts at brawl stars,0.0,Neutral,"['thank', 'week', 'gift', 'brawl', 'star']",1
UgzrBaHBOLAyqs2pop94AaABAg,@caraoates619,Soooo goood,2021-11-25T17:08:14Z,soooo goood,0.0,Neutral,"['soooo', 'goood']",2
