comment_id,author,text,published_at
UgyG9qm52vWZEjhyWBV4AaABAg,@victorlawes1076,He housed the sandwich!! Professor Urabay would be so proud!,2024-02-13T13:51:01Z
UgxCsLox6l-2UN6hkkx4AaABAg,@solracer66,"Hopefully this is the right episode to make this comment on but what's with Ben being exhausted from walking up the Montmartre steps the day before? I had one day in Paris this summer and wanted to get in as much as possible so I ended up walking nearly 14 miles including up those steps and wasn't exhausted after! Oh and I'm 65, lol!",2024-02-02T19:10:15Z
Ugw47aUIFhX2bL4HRLt4AaABAg,@charliebramley,curses are the unexpected,2024-01-09T20:17:40Z
UgzeDzJOoCAkPyv5Gcp4AaABAg,@Neon_Koopa,"You my friends are fulfilling everyone’s childhood dream, or at least mine. I love this series :)",2024-01-09T19:55:57Z
UgzjMUwGrPAng-gsHJF4AaABAg,@peculiarstitches,"One thing I like is that, you never seem to stay too long on a scene or too short, the editing is really good!",2024-01-05T02:12:03Z
UgyPQijGfm5Kt41hYuN4AaABAg,@peculiarstitches,I personally have not been hunted for sport.,2024-01-05T02:08:41Z
UgyliPMvAFAlxrxVj614AaABAg,@npc_tony,"This is one of the best series’s that I watch all the time😊

You guys are great😊",2024-01-02T20:43:23Z
Ugw76BeTwF9smztVvol4AaABAg,@viridimontes,22:58 how many letters in “Dunkirk”?,2023-12-21T13:49:36Z
UgwJcj4vUNotQH_yNrx4AaABAg,@zombielols1895,Crqzy,2023-12-19T17:35:29Z
Ugzd_B3fW91UrwHeEoR4AaABAg,@bencorrell,6:59 Sam letting his intrusive thoughts out,2023-12-10T06:19:27Z
UgzSfOsaYVkLKlFsvkh4AaABAg,@florentyawijaya8425,I like Ben's expression when he got caught hahahaha,2023-11-12T13:11:28Z
UgyjsHflyu_zwXQ9CAF4AaABAg,@mikeeemike9897,Ben got caught too quick,2023-11-10T00:24:54Z
UgzS9XmOfp2uMvYL0NR4AaABAg,@CodingAndy,Amazing.,2023-10-29T02:29:01Z
UgzAhpj-iR9DZrpAn8l4AaABAg,@naordaizi3234,the curse card actually saved him,2023-10-27T16:25:46Z
UgzjXgyG87mEX5ODvVt4AaABAg,@nolansaylor7710,"Ben should've gotten his 300 coins back for the train. The train didn't even start moving. That said, if it did it would be funny to time it out so they lose the maximum amount, wait till they are about to get off then reveal you were there and spying the whole time. I wonder how getting tagged while on the train counts, assumedly the safe period doesn't start until hey actually have a chance to escape. 
If this is all correct it could be funny, having the runner trying to get the seekers so the runner stops losing coins.",2023-10-27T16:24:25Z
UgwHdVbcF1HksAx7vap4AaABAg,@naordaizi3234,ben shouldn't have stopped for a challenge since he had 500 coins left and only needed 360 for the next train.,2023-10-27T16:17:40Z
UgzEfl7177AXZqsmhot4AaABAg,@thijmenstuff5511,Thise guys are crazy,2023-10-27T09:06:27Z
Ugx4yBLN9ek4O8Op3ot4AaABAg,@Dinomon5,When a curse saves your life,2023-10-27T03:35:48Z
UgxfARbu4Hr8ibUd9fZ4AaABAg,@danstratyt,"Using coins to buy transport, this is like IRL Globetrotters from the original Wii Party (btw would love to see them play that on this channel)",2023-10-19T19:17:29Z
UgxtKqQuRHU5-AVR76h4AaABAg,@leahyt,Oh my God it's the face of Sam from Wendover Productions,2023-10-10T13:33:32Z
UgyEgoVOJm_kmQqZHjp4AaABAg,@Tibzyy7,You can just get near you’re place and hide and you win,2023-10-09T09:28:26Z
UgwwcKAkR_rq5OE5otZ4AaABAg,@npttytwo,Go back to lille,2023-10-09T06:03:07Z
